FS1291,Caolas A Deas,Marine Harvest (Scotland) Ltd.,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<3,,,<3,,,3.54,Bath,,5.53,Bath,,<3,Bath,,<3,Harvesting,,<3,,,,,,,,,,,,,,,,,,,,,,,
FS1297,Tabhaigh,Marine Harvest (Scotland) Ltd.,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<3,,,<3,,,4.16,,,7.5,,,<3,,,<3,,,<3,,,,,,,,,,,,,,,,,,,,,,,
FS0413,Camas Glas,Marine Harvest (Scotland) Ltd.,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<3,,,<3,,,<3,,,3.34,,,<3,,,,,,,,,,,
FS0065,Loch Laxford,Loch Duart Ltd,FB0398,,,,,,,,,,,,,,,,5.1,,,6,,,4.8,,,6.1,,,9,,,9.3,,,11.6,In Feed,,,Bath,,7.1,Bath,,6.9,,,5,Harvesting,,5.3,Harvesting,,4.6,,,6.7,,,6.7,,,7.8,Bath,,10.6,,,9.2,Cleanerfish,,,Cleanerfish,,5.9,Cleanerfish,,4.1,Cleanerfish,,4.6,Cleanerfish,,2.9,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0067,Badcall Bay,Loch Duart Ltd,FB0398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,Cleanerfish,,<3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0933,Clashnessie Bay,Loch Duart Ltd,FB0398,,Cleanerfish,,,Cleanerfish,,,Cleanerfish,,,Cleanerfish,,4.5,In Feed,,4.6,Cleanerfish,,4.7,Cleanerfish,,4.9,Cleanerfish,,5.6,Cleanerfish,,7.5,Cleanerfish,,no count,Cleanerfish,,14.8,,,13.6,,,20.1,In Feed,,no count,,,no count,In Feed,,18,Harvesting,,17.8,,,17.9,,,no count,Bath,,6.9,Bath,,7.5,,,7.8,,,6.7,,,no count,Harvesting,,no count,Harvesting,,no count,Harvesting,,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1280,Loch Carnan,Loch Duart Ltd,FB0398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.56,Cleanerfish,,2.07,,,<3,Bath,,,,,,,,,,,3.2,,,5.4,Bath,,3.2,Bath,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0465,Shuna Castle,Kames Fish Farming Ltd,FB0134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,Bath,,,Harvesting,,,,,,,,,,,,,,,,,,,
FS1290,Shuna SW (Rubh'an Trilleachain),Kames Fish Farming Ltd,FB0134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.18,,,<3,,,<3,,,<3,,,4.28,,,8.3,,,12.81,,,<3,,,4.49,,Breach,5.41,,,3.39,,,<3,,,,,,,,,,,
FS0433,Langa Isle (East),Grieg Seafood Shetland Ltd,FB0440,,,,,,,3.21,,,4.25,,,7.93,,,8.88,,,8.13,Bath,,8.1,,,,,,3.2,Bath,,1.24,,,2.48,,,,,,3.4,,,3.21,,,no count,Bath,,2.18,,,4.5,,,3.1,Bath,,4.2,Bath,,7.18,,,12.16,Bath,,15.4,,,9.75,,,10.22,,,10.46,,,9.18,Harvesting,,,Harvesting,,,,,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0489,Cole Deep,Grieg Seafood Shetland Ltd,FB0440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.55,,,3.35,Physical,,3.63,Harvesting,,3.82,,,no count,Bath,,9.8,Bath,,8.35,Bath,,7.9,Bath,,7.8,Harvesting,Breach,7.5,Harvesting,,10.37,Harvesting,,no count,Harvesting,,EoC,EoC,EoC,,,,,,
FS0515,North Papa,Grieg Seafood Shetland Ltd,FB0440,6.56,,,4.82,,,4.73,,,7.28,Bath,,5.1,Bath,,5.52,Bath,,7.25,,,7.9,,,6.82,,,10.35,Harvesting,,9.5,,,9.78,Bath,,9.46,,,9.46,,,12.18,Bath,,16.6,,,6.55,Harvesting,,11.98,,,13.1,,,13.2,Bath,,14.55,Harvesting,,15.6,Harvesting,,,Harvesting,,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0674,North Havra,Grieg Seafood Shetland Ltd,FB0440,7.07,Bath,,,,,,Bath,,3.47,,,4.45,,,,Bath,,8.46,,,7.1,,,5.31,,,3.68,,,4.17,,,,,,,,,0.86,,,7.64,,,9.95,Physical,,14.36,Bath,,29.53,Bath,,11.13,,,5.88,,,7.6,,,18.7,,,5.9,Physical,,6.76,In Feed,,6.3,Physical,,2.68,,,2.65,,,2.46,,,2.5,,,6.5,,,no count,,,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0785,Spoose Holm,Grieg Seafood Shetland Ltd,FB0440,,,,5.11,,,,Bath,,5,,,8.51,,,11.27,Bath,,5.3,,,,Bath,,2.6,,,4.03,,,2.24,,,3.08,,,,,,4.8,,,5.35,,,6.93,Physical,,3.68,Physical,,7.11,,,7.24,Bath,,1,,,5.8,,,15.22,,,16.24,Physical,,4.38,In Feed,,3.72,,,4.06,,,5.36,,,4.32,,,no count,,,10.2,,,20.6,In Feed,,14.2,,,9.65,,Warning Letter,no count,Harvesting,,No count,Harvesting,,,,,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0800,Leinish,Grieg Seafood Shetland Ltd,FB0440,7.07,,,6.04,,,5.36,,,,,,6.8,,,,Bath,,3.93,Bath,,11.82,,,6.85,,,6.74,,,,,,6.65,,,14.6,,,no count,Bath,,6.27,,,6.4,,,10.14,Bath,,no count,,,6.26,Bath,,3.1,Bath,,no count,Harvesting,,no count,Harvesting,,,Harvesting,,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0937,West of Burwick,Grieg Seafood Shetland Ltd,FB0440,,,,,,,3.21,,,,,,4.69,,,6.53,,,3.55,Bath,,4.09,,,,Bath,,2.96,,,3.12,,,3.2,,,,,,7.28,,,3.7,Bath,,2.45,,,5.2,Bath,,7.02,Bath,,5.76,,,3.68,Bath,,9.7,Bath,,16.08,Bath,,9.1,,,9.28,,,16.2,Harvesting,,no count,Harvesting,,no count,,,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0948,Score Holms,Grieg Seafood Shetland Ltd,FB0440,2.06,,,3.16,,,3.18,Bath,,3.58,Bath,,,,,no count,,,10.25,,,10.63,Bath,,5.57,Bath,,2.86,Bath,,2.85,,,3.13,,,4.02,,,4.53,,,6.06,,,3.31,Bath,,3.52,,,5.16,,,6.45,Bath,,3.43,,,7.16,,,11.1,,,6.08,,,22.26,Bath,,20.6,Physical,,22.38,,,9.42,,,7.52,Bath,,6.46,,,15.04,,,12.38,In Feed,,no count,,,9.57,,Warning Letter,21.4,,,No count,Bath,,,Bath,EN,,,,,,,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1175,Gob na Hoe,Grieg Seafood Shetland Ltd,FB0440,,,,5.76,,,3.76,,,8.25,,,9.14,,,6.47,Bath,,6.23,,,10.9,,,6.48,,,9.7,,,6.14,,,6.57,,,3.65,,,no count,Bath,,3.67,,,4.63,,,8.5,Bath,,no count,,,,Bath,,1.25,,,2.63,,,7.38,,,5,,,,,,3.97,,,,,,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1278,East of Papa Little,Grieg Seafood Shetland Ltd,FB0440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.29,,,7.03,,,4.95,Physical,,7.98,,,9.01,Harvesting,,no count,Bath,,11.91,Bath,,11.2,Bath,Warning Letter,13.2,Bath,,8.87,Bath,,3.47,Bath,,4.1,,Breach,no count,,,no count,,,no count,,,EoC,EoC,EoC
FS1287,Corlarach,Grieg Seafood Shetland Ltd,FB0440,,Bath,,11.08,,,5.92,,,,Harvesting,,,,,,Bath,,6.42,Bath,,8.46,,,5.65,,,,,,,,,5.07,,,6.7,,,no count,Harvesting,,5,,,12.67,,,12.65,Harvesting,,no count,,,no count,Bath,,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1112,Etive 4,Dawnfresh Farming Ltd,FB0456,,Harvesting,,,,,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0088,Cloudin,Cooke Aquaculture Scotland Ltd,FB0095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.06,Bath,,2.45,,,,,,3.43,,,3.44,Harvesting,,4.77,,,4.2,Harvesting,,4.93,,,3.7,Physical,,,Harvesting,,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0382,Uyea Isle,Cooke Aquaculture Scotland Ltd,FB0095,1.96,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<3,,,3.6,Harvesting,,3.5,Harvesting,,,,,,,,,,,,,,6.1,,,5.2,Harvesting,,no count,Harvesting,,,Harvesting,,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0451,Turness,Cooke Aquaculture Scotland Ltd,FB0095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,,,4.3,,,<3,Physical,,,,,<3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,4.56,Bath,,<3,,,,,
FS0472,Wick of Belmont,Cooke Aquaculture Scotland Ltd,FB0095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.67,Bath,,<3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0656,Djubawick,Cooke Aquaculture Scotland Ltd,FB0095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,,no count,,,4.57,Physical,,<3,,,,,,<3,Physical,,,,,<3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1057,Vee Taing,Cooke Aquaculture Scotland Ltd,FB0095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,Bath,,5.35,Harvesting,,6.16,Harvesting,,5.9,Harvesting,,no count,,,4.08,Harvesting,,4.87,,,6.08,Harvesting,,5.3,Harvesting,,no count,Harvesting,,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1279,Bastaness,Cooke Aquaculture Scotland Ltd,FB0095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.75,,,<3,,,3.7,,,5.19,,,4.59,Physical,,<3,Physical,,4.42,,,4.59,Bath,,<3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
