FS0937,West of Burwick,Grieg Seafood Shetland Ltd,FB0440,no count,,,4.95,Bath,,5.12,Bath,,4.37,Physical,,0.5,Physical,,,,,,,,,,,,,,,,,4.57,,,6.76,,,5.07,Physical,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,,,5,,,3.89,,,6.63,Physical,,2.46,Physical,,3.79,Bath,,4.57,Bath,Advisory Letter,5.13,,,7.28,Physical,,10.8,Harvesting,,1.75,Harvesting,,4.15,Harvesting,,no count,,,1.3,Harvesting,,,,,,,,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1287,Corlarach,Grieg Seafood Shetland Ltd,FB0440,no count,,,3.76,Bath,,13.66,Bath,,12.26,,,2.5,Bath,,5.11,,Advisory Letter,0.7,,,1.78,,,no count,,,3.2,,,5.88,,,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0800,Leinish,Grieg Seafood Shetland Ltd,FB0440,7.21,,,6.78,,,3.37,Bath,,2.84,,,4.56,Bath,,,,,,,,3.9,Physical,,0.35,,,1.8,,,3.5,,,3.43,,,5,,,4.4,,,3.6,,,6.25,Harvesting,,8,Harvesting,,no count,Harvesting,,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1175,Gob na Hoe,Grieg Seafood Shetland Ltd,FB0440,,,,7.27,,,5,Bath,,5.45,,,5.78,Bath,,4.44,,,no count,,,3.17,Physical,,0.5,Physical,,1.25,,,3.4,,,3.73,,,3.83,,,3.19,,,no count,,,3.68,Harvesting,,5.6,Harvesting,,4.25,Physical,,,,,,,,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0948,Score Holms,Grieg Seafood Shetland Ltd,FB0440,,,,4.8,,,6.13,Bath,,5,Physical,,0.25,Physical,,,,,,,,,,,,,,5.4,,,no count,Bath,,0.38,,,0.33,,,,,,,,,,,,,,,3.8,,,4.9,,,2.7,Physical,,3.83,Harvesting,,7.93,Bath,,2.87,,,5.3,Harvesting,,6.75,,,5.9,,,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0764,Olna South,Grieg Seafood Shetland Ltd,FB0440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.69,Bath,,0.22,,,,,,,,,,,,,,,2.3,Harvesting,,no count,Harvesting,,4.4,Harvesting,,no count,Harvesting,,,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,,,
FS0903,Swining Voe 3,Grieg Seafood Shetland Ltd,FB0440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,,3.85,Bath,,0.7,,,,,,,,,,,,3.4,,,3.66,,,no count,Physical,,2.06,Physical,,1.82,,,,,,3.03,,,,,
FS1027,Linga (Setterness),Grieg Seafood Shetland Ltd,FB0440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.94,,,2.6,Physical,,no count,,,0.7,,,,,,,,,2.48,,,5.5,Bath,,0.9,Bath,,0.78,Bath,,2.52,Bath,,no count,Bath,,2.05,Bath,,,,
FS0408,Poseidon,Grieg Seafood Shetland Ltd,FB0440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.59,,,3.36,,,1.21,Physical,,,,,2.8,Bath,,no count,Bath,,0.8,,,,,,,,,4.23,,,2.92,,,1.1,Physical,,no count,Physical,,1.65,,,,,
FS1076,Setterness North (Bomlo),Grieg Seafood Shetland Ltd,FB0440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71,,,2.81,,,5.3,Physical,,1.57,Physical,,,,,,,,,,,3.8,Bath,,2.27,Bath,,no count,Bath,,0.53,,,,,
FS0292,Bight of Foraness,Grieg Seafood Shetland Ltd,FB0440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28,,,2.29,Physical,,1.68,Physical,,1.62,Physical,,1.98,,,2.46,,,1.59,,,1.79,,,3.4,,,3.4,,,2.14,Physical,,0.4,,
FS1278,East of Papa Little,Grieg Seafood Shetland Ltd,FB0440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.19,,,no count,,,,,,,,,,,,,,,3.88,,,5.78,Bath,,no count,,,no count,,,1.29,,,2.78,,,3.09,,,,,
FS0489,Cole Deep,Grieg Seafood Shetland Ltd,FB0440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.61,,,no count,,,4.17,,,5.3,,,5.45,,,no count,Bath,,5.3,Bath,,5.82,Bath,,3.78,Bath,,,,,,,,,,
FS1112,Etive 4,Dawnfresh Farming Ltd,FB0456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,,0.2,Bath,,,,,,,,2.7,Bath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,Bath,,,,,,,,,,
FS1288,Etive 6,Dawnfresh Farming Ltd,FB0456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,0.6,Bath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1101,Etive 3 (Port na Mine),Dawnfresh Farming Ltd,FB0456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.59,Bath,,2.34,Bath,,2.25,Bath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0960,East of Holm Heogland (Burkwell),Cooke Aquaculture Scotland Ltd,FB0095,,,,,,,,,,5.1,,,3.2,,,<3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22,Physical,,,,,<2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0382,Uyea Isle,Cooke Aquaculture Scotland Ltd,FB0095,,,,,,,,,,3.57,,,3.6,,,<3,Bath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1057,Vee Taing,Cooke Aquaculture Scotland Ltd,FB0095,,,,,,,,,,3.99,,,3.4,,,<3,Bath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0477,Bow of Hascosay,Cooke Aquaculture Scotland Ltd,FB0095,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,3.43,Bath,,,Bath,,<3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.77,Harvesting,,<2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1275,Flaeshins,Cooke Aquaculture Scotland Ltd,FB0095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.17,Physical,,<2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0710,Sandwick,Cooke Aquaculture Scotland Ltd,FB0095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.23,Physical,,2.13,Physical,,,,,,,,<2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73,Physical,,<2,,,,,,,,,,,,3.39,Harvesting,,<2,,,,,,,,,,,,,,,,,,,,
FS0656,Djubawick,Cooke Aquaculture Scotland Ltd,FB0095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02,Harvesting,,,,,,,,<2,,,,,,,,,,,,,,,,,,,,,3.14,Harvesting,,2.19,Harvesting,,2.29,Harvesting,,2.34,Harvesting,,,,,<2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0637,Stead of Aithness,Cooke Aquaculture Scotland Ltd,FB0095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07,Bath,,2.23,Bath,,2.43,Bath,,2.75,Bath,,<2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
