,,,,Week 1,,,Week 2,,,Week 3,,,Week 4,,,Week 5,,,Week 6,,,Week 7,,,Week 8,,,Week 9,,,Week 10,,,Week 11,,,Week 12,,,Week 13,,,Week 14,,,Week 15,,,Week 16,,,Week 17,,,Week 18,,,Week 19,,,Week 20,,,Week 21,,,Week 22,,,Week 23,,,Week 24,,,Week 25,,,Week 26,,,Week 27,,,Week 28,,,Week 29,,,Week 30,,,Week 31,,,Week 32,,,Week 33,,,Week 34,,,Week 35,,,Week 36,,,Week 37,,,Week 38,,,Week 39,,,Week 40,,,Week 41,,,Week 42,,,Week 43,,,Week 44,,,Week 45,,,Week 46,,,Week 47,,,Week 48,,,Week 49,,,Week 50,,,Week 51,,,Week 52,,
Site No,Site Name,Business Name,Business No,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action,Count,Mitigation,SG Action
FS0212,Invasion Bay,Marine Harvest (Scotland) Ltd,FB0119,3.54,Bath,,4.01,Bath & Physical,,<3,Physical,,,,,,,,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1033,North Shore,Marine Harvest (Scotland) Ltd,FB0119,2.35,,,3.1,Harvesting,,3.66,Harvesting,,5.93,Harvesting,,<3,Harvesting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0248,Loch Duich,Marine Harvest (Scotland) Ltd,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,3.53,,,4.73,Physical,,0.86,,,0.98,,,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1042,Seaforth,Marine Harvest (Scotland) Ltd,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.33,,,0.76,Physical,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.18,,,no count,Harvesting,,No count,Harvesting,,<3,,,,,,,,,,,,,,,,,,,,,,,
FS0599,MacLean's Nose,Marine Harvest (Scotland) Ltd,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.05,,,1.22,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0531,Ornish Island,Marine Harvest (Scotland) Ltd,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.15,,,3.7,,,0.61,Physical,,,,,,,,4.51,,,3.34,Physical,,1.03,,,,Physical,,,Bath,,,,
FS1309,Loch Snizort East,Grieg Seafood Shetland Ltd,FB0440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51,Bath,,No Count,,,8.9,,,0.77,Physical,,1.73,,,0.9,,Breach,2.7,,,3.58,,,4.56,,,0.81,Physical,,2.19,,,2.75,Bath,,6.4,,,6.62,Bath,,3.68,Bath,,3.8,,,no count,Harvesting,,no count,Harvesting,,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0903,Swining Voe 3,Grieg Seafood Shetland Ltd,FB0440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,,4.73,Bath,,2.5,,,5,,,2.88,,,,,,,,,,,,,,,,,,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0408,Poseidon,Grieg Seafood Shetland Ltd,FB0440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.28,Harvesting,,no count,Harvesting,,no count,Harvesting,,no count,Harvesting,,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1076,Setterness North (Bomlo),Grieg Seafood Shetland Ltd,FB0440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53,,,5.22,,,6.55,,,5.43,Bath,,1.57,,,3.9,Harvesting,,5.65,,,No count,,,6.43,Bath,,No count,Harvesting,,7.17,Harvesting,,No count,Harvesting,,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,
